BMQDV;yCeTE 2;biGQs 4
NinoTraveller2014;Ini benar-benar menjadi daftar warisan unesco tempat anda tidak melihat bobrok yang kompleks dan sejarah, tapi memang yang mengagumkan serta arsitektur yang katanya Bhuddist di kompleks kuil terbesar di dunia. hotel mudah dijangkau dengan bus dari yogyakarta dan dapat bertekap di siang hari bersama-sama dengan candi prambanan.;Ditulis pada 5 November 2015
AneteR;Itu adalah tempat yang sangat indah. Kami pergi ke sana dengan sepeda motor, jadi itu sangat mudah. Aku terkejut dengan biaya masuk yang tinggi.;Ditulis pada 5 November 2015
LeeLung;Seluruh perjalanan adalah untuk sengaja melakukan perjalanan untuk melihat tempat ini dan tidak pernah gagal untuk menyenangkan kami! Butuh waktu sekitar setengah jam untuk mencapai satu di sini dari kota yogyakarta. Berbuat ikuti panduan atau melakukan beberapa pra baca diri sebagai kuil memiliki banyak kecil rincian tamasyawan untuk melihat.;Ditulis pada 3 November 2015
Amy R;Kami pergi ke candi borobudur untuk melihat matahari terbit dari 3:30 Yogja di tapi itu bukan karena keberuntungan kita itu awan. Kami menunggu waktu lebih lama lagi untuk melihat matahari namun itu benar-benar baik dengan pemandangan dan stupa dan patung budha matahari sebagai latar belakang. Itu tidak besar dan dapat dieksplorasi oleh para tetua tapi hanya perlu hati-hati mendaki. Matahari terbit di borobudur sangat kecewa untuk biaya yang mahal ada 380K. Dan ternyata ini ada 280K. Kami memiliki makanan ringan dan kopi (tidak mengesankan dengan kopi dan teh) dan suvenir yang bisa ditempuh dengan borobudur rajutanny taferil sebagai latar belakang. Kami ingin pergi ke borobudur untuk mengelola manajemen dan menempatkan semenggah untuk pergi keluar karena itu benar-benar bagus untuk wisatawan dan harus berjalan jauh ke belakang dan ke depan (museum dan kios) hanya untuk menemukan jalan keluar. Peta tidak membantu terutama bila tak usah karena gelap dan tidak membuka lapak di pagi hari.;Ditulis pada 1 November 2015
tkl112;Segala sesuatu yang kita telah membaca tentang candi borobudur telah membandingkan ini ke angkor wat dan bagan, jadi saya pikir bahwa harapan saya yang sedikit terlalu tinggi. Ini adalah sebuah kuil yang sejuk, dan terdapat sejumlah pukta ukiran, tapi itu membawa kami sekitar 90 menit untuk berjalan-jalan seluruh temple saat menghabiskan waktu memeriksa semua ukiran. Saya pikir bahwa jika anda benar-benar ke dalam kuil buddha, ini akan luar biasa, namun dalam skala, hotel ini jauh lebih kecil daripada angkor atau bagan. Saya akan menyarankan mendapatkan di sana juga sangat awal. Kami tinggal di situs dan tiba tepat pukul 6am. Kuil itu sebagian besar kosong, dan orang-orang dengan penuh hormat dan tenang untuk sekitar satu jam. Kemudian banyak kelompok-kelompok sekolah tiba untuk berlatih bahasa inggris mereka dengan wisatawan. Anak-anak benar-benar manis dan sangat bersemangat untuk melihat kami/penggugup, jadi itu banyak menyenangkan. Tetapi tentang 20 - 30 kelompok sekolah lain muncul dan mereka keras. Selain itu, itu sulit untuk benar-benar melihat kuil karena yang akan terus-menerus menyelang untuk kelompok-kelompok yang berbeda melakukan wawancara. jadi, jika anda ingin melihat kuil di tenang dan tanpa gangguan. Aku akan pasti merekomendasikan untuk memulai. Selain itu, pemandangan lebih awal di pagi hari dari atas candi melintasi lanskap yang menawan.;Ditulis pada 1 November 2015
Marthe_K21;Pada itu sendiri adalah indah dan sibuk. Sebagai turis barat, mengharapkan orang untuk ingin mengambil gambar dengan anda. Jika anda mengunjungi matahari terbit sekitar 4 km dari borobudur viewpoint, anda akan melihat mengarunia di kejauhan. Anda dapat berjalan kaki ke gereja yang sebenarnya berbentuk seperti ayam. Ini adalah tentang 10 - 15 menit dari viewpoint, dan benar-benar bernilai waktu anda. Tidak hanya gereja itu sendiri benar-benar baik, tetapi anda juga memiliki perjalanan matahari terbit. Hotel ini dapat ditemukan di peta google dengan nama gereja ayam.;Ditulis pada 1 November 2015
EGMA9;Tempat ini sangat kecil dibandingkan dengan apa yang saya lihat dalam gambar... Itu panas, tetapi di sini adalah... Langkah-langkah yang curam tapi saya sangat kesal dengan berjalan lama yang mereka menempatkan kami melalui ketika kami keluar dan berjalan lama adalah melalui banyak penjual soveneir dan ini agak umum untuk melihat situs warisan dunia karena renang kotor seperti kemiskinan, ...Sangat mahal;Ditulis pada 29 Oktober 2015
Ana R;Curam mendaki dan mengambil, nyaman sepatu, topi bayi pengangku dan direkomendasikan jika anda membawa bayi. Aku membawa bayi kami di jalan tapi tidak dibawa dalam perjalanan turun, ketika aku menemukan itu terlalu curam. 7 tahun kumenahan tersebut.Ini karena di pintu masuk pengunjung internasional ini bersih dan ada air dijual di harga tetap. Saat memasuki kawasan ini, hati-hati karena akan ada banyak orang yang mencoba untuk menjual anda mulai dari topi untuk suvenir. Itu adalah di sini untuk saya 7 tahun, ketika ia pernah mengalami dikelilingi dan mengikuti yang sangat kuat.Namun demikian, pemandangan yang menakjubkan, sejarah yang kaya dan berpengetahuan panduan yang membuat ini harus mengunjungi.;Ditulis pada 29 Oktober 2015
mad-m0nk13;Benar-benar spektakuler tempat untuk berjalan-jalan, cukup kuil lain yang saya telah melihat. 100% layak dikunjungi. Waktu terbaik untuk berkunjung adalah tepat sebelum matahari terbenam. Anda harus membayar tambahan untuk matahari terbit dan matahari terbenam, tapi jika anda berada di sana tepat sebelum matahari terbenam karena itu adalah sedikit sibuk dan anda mendapatkan awal matahari terbenam dan warna-warna cantik.;Ditulis pada 27 Oktober 2015
;;
LEIYIHK;Pasti tempat untuk melihat ketika bepergian di jawa tengah dengan tangga ini penerbangan dan puncak bukit buddha yang tersembunyi di bawah merekanamun... Orang-orang asing lokal menyerbuku 25 USD saat akan dibebankan 30 000 rupiah indonesia atau jadi ini benar-benar keterlaluan. Juga menggelikannya, anda ditawarkan kopi atau teh instan, botol plastik dari air (layak 50 sen - jadi ramah lingkungan) tapi teman-teman indonesia yang anda tidak... Pikiran anda ada di kaki candi akan mengingatkan anda bahwa tidak ada minuman atau makanan yang diperbolehkan... mungkin aku melewatkan sesuatu...;Ditulis pada 27 Oktober 2015
jmc303;Segar dan benar-benar, benar-benar harus melihat. Pemandangan yang luar biasa. Bisa mendapatkan sibuk, lebih penting.;Ditulis pada 27 Oktober 2015
SigitaVilnius;Beli yang menghadang: Borobudur prambanan +=30 USD.Jika anda bisa, mulai dari borobudur. Jika anda datang di pagi hari (bahkan jika tidak untuk matahari terbit), itu akan hampir kosong (kami tiba di 8:00). Setelah itu datang dengan banyak bus anak-anak sekolah :) Di pantai lamai yang anda dapat membeli tiket combo ini (anda menyimpan 8 USD).Anda akan mendapatkan sarung (untuk disewa, termasuk), pembuat teh, atau tempat air minum kemasan botol.Borobudur sangat mengagumkan! Wilayah ini besar (tapi mudah berjalan kaki), bersih dan tenang. Kuil ini menarik, tapi anda harus memanjat tangga, jika anda ingin mencapai puncak. Pemandangannya sangat indah, dasarnya. Dan ada sesuatu yang khusus, anda dapat merasa ada. Tidak tahu bagaimana untuk menjelaskan :) Tempat ini memiliki jiwa...;Ditulis pada 27 Oktober 2015
Alison P;Kuil ini cukup menakjubkan. Aku mengambil hari tur (dipesan secara online melalui yogyayes. com dengan tur m.j.) dan benar-benar senang saya menginap di hotel ini. Yang saya lakukan adalah tur sepanjang hari dan prambanan dan gunung merapi tertutup serta borobudur. Menghabiskan 2 jam Boroboudur tentang, yang cukup untuk memiliki baik melihat sekeliling. Jika anda tidak memiliki panduan berbahasa inggris anda mungkin hanya dilakukan dengan berjalan dan meninggalkan karena tidak ada banyak lain di kuil itu sendiri. Juga pintu keluar membuat ngernyitkan - terdapat sekitar 1,5 kilometer (ya! Kilometer!) dari tenda warung yang menjual semua sama tamasyawan tat. Panduan kami menunjukkan kami celah pagar jadi kami melarikan diri dari awal, kami sangat berterima kasih dan bersedia membayar ekstra hanya untuk nasihat itu.;Ditulis pada 27 Oktober 2015
sjc2003;Terletak sekitar satu jam dari yogyakarta situs ini sangat mengesankan. Hotel ini besar, yang dibangun kembali dan indah memeragakannya pembuatan batu lebih dari 1000 tahun yang lalu. Tempat ini adalah terpelihara dengan baik, dan terletak di daerah pedesaan yang indah yang menyediakan latar belakang sempurna untuk keseluruhan pengalaman. Satu masalah aku punya adalah komersialisasi tempat ini. Aku bukan penggemar yang membantu dan peka menggerecokimu untuk membeli hal-hal dan tampaknya ada ratusan toko-toko suvenir. Saya mengerti kebutuhan untuk ini dan untuk rakyat untuk membuat hidup tidak bisa lebih baik dikelola seperti di prambanan.;Ditulis pada 26 Oktober 2015
SheonLo;Jika anda hanya punya waktu untuk mengunjungi satu tempat di jogja, ini akan menjadi itu. Beberapa operator akan menawarkan paket - keindahan matahari terbenam dari bukit terdekat, untuk menikmati keindahan matahari terbenam dari pagoda yang total bom, bagi saya tidak perlu. Hanya kepala langsung ke kuil di awal pagi jadi itu dingin dan berkabut sebagai pertengahan hari matahari di jogja ini menyiksa. Biaya masuk adalah USD20 padankata, dan saya akan merekomendasikan menyewa panduan untuk IDR100k.;Ditulis pada 25 Oktober 2015
ZofeMom;Ini sejarah yang luar biasa. Saya sangat merekomendasikan anda bangun untuk matahari terbit. Duduk-duduk di bagian atas kuil dengan hanya beberapa orang-orang di sekitar anda akan bersatu dengan damai. Ini juga memberi anda kesempatan untuk melihat semua candi sebelum menimbun di bus tiba;Ditulis pada 25 Oktober 2015
AndreLock1;Kami mengunjungi hotel di bulan oktober tahun ini dan tempel benar-benar menikmatinya. kami membayar ekstra untuk melihat matahari terbenam. saya tidak akan merekomendasikan melakukan hal itu, karena orang-orang yang tidak membayar hanya 5 menit sebelum matahari terbenam diiringinya bludas. Masih cukup ramai dan banyak uang untuk memiliki pandangan yang sama. Masih sangat menarik untuk melihat dan yang pasti harus jika anda berada di lingkungan.;Ditulis pada 23 Oktober 2015
DoreenLoo;Kuil yang menakjubkan! Kami tiba di hotel dan segera 6am di kuil memajemukan dengan 630am. Di pagi hari pada maret, itu dingin dan berawan. Ketika kami pergi ke borobudur, lapisan kabut menggantung di sekitar kuil serbahijau greywolf di sekitarnya, sehingga hampir-hampir spiritual :) cantik. Sangat direkomendasikan. Ikuti kami untuk hari - itu tidak mahal. Dan itu akan memberikan anda nyaman dan mudah naik ke candi yang berjarak kira-kira $. 45 - 50 menit dari kota jogja.;Ditulis pada 23 Oktober 2015
Stefan R;Candi prambanan sangat eksotik iooks sebagai objek wisata lainnya yang besar dan arsitektur adalah penting. Tapi itu masih sebuah batu builing dengan banyak kerusakan. Kembali ke temple yang dapat dilihat. kota ini dipenuhi dengan orang-orang, banyak di antara mereka orang-orang indonesia. ini adalah tantangan besar di mana untuk mendapatkan gambar buddahs tidak ditutupi dengan orang lain. Dari waktu ke waktu orang-orang akan ingin foto dengan anda. Terutama jika anda memiliki kulit yang putih, rambut pirang atau jenggota. ini adalah jenis yang wajib dikunjungi ketika anda berada di sana, itu malam tur kami. Anda harus mengambil sebuah panduan untuk memahami apa yang anda melihat atau anda akan kehilangan sebagian besar apa yang membuat tempat ini khusus. Cerita di balik foto-foto menakjubkan, agak seperti membaca siddhartha. :) Di senja itu lebih baik mengguraukan, sudah hampir 20 menit awal dan duduk di atas megaburkan. Tidak bisa bahkan melihat gunung merapi. Anda yang merasa dikhianati. Mungkin orang-orang indonesia akhirnya bisa operkan hukum yang menentang terbakar rainforrest untuk kelapa sawit yang monokultur... Anda dapat langsung merasakan bagaimana itu tampak seperti ketika negara ini juga untuk melindungi warga minggu ini. Yang membuat anda sedih. don ' t kukenalilah memperharapkan terlalu banyak dan anda tidak akan kecewa.Dari jogja wisata berjarak sekitar 600k.Tentu saja itu akan adil untuk memberikannya 4 bintang mengabaikan megaburkan. Dan itu lebih dingin daripada prambanan di mata saya.;Ditulis pada 22 Oktober 2015
;;
Christoph A;Kuil ini mengesankan dan indah. Lebih kecil daripada yang saya pikir, tetapi dengan banyak rincian dan banyak charme. Satu dapat menghabiskan berjam-jam di sana. Anda harus pergi dan melihat ini. Namun perlu diketahui: Karena proses restauration mengatakan ada perancah di depan kuil. Namun demikian, yang biaya masuk adalah masih dari atap. Tapi masih tidak cukup tinggi untuk menakuti beberapa wisatawan, yang mencakup tempat. Ini adalah hampir tidak mungkin untuk mengambil gambar tanpa beberapa sesama tamu di tempat ini. Terburuk dari semua itu adalah jalan keluar. Ada banyak suvenir berdiri dan wisatawan yang dapat menekan melewati jalur berliku seperti ternak. Ini biaya kekurangajarannya tentang setengah jam dari waktu anda dan semua handuk pantai. Jika anda mencoba untuk meninggalkan tempat, bukannya melalui pintu keluar, staf akan mencoba untuk menghentikan anda. Saran saya: tetap pergi. Sebagian besar tur termasuk pemandangan matahari terbit dari gunung yang dekat dengan kuil. Karena anda tidak dapat melihat kuil dari sana, bahkan jika ini tidak benar-benar, pergi langsung ke kuil. sehingga anda mungkin memiliki kesempatan untuk melihat sebelum pengunjung masuk. Pra-s, yang sebelum 6 jam total tempat. Pedoman umum: Orang-orang tidak peduli untuk Gready anda benar-benar pengalaman unik dari tempat ini. Dapatkan bersama dengan itu dan masih memiliki menyenangkan anda atau tinggal jauh dan mencoba beberapa agenda lainnya.;Ditulis pada 22 Oktober 2015
Evie B;Pengalaman luar biasa. Mencintai bangun di awal kelembapa dan mendaki langkah-langkah ke atas. Kami menyaksikan matahari terbit ke arah perbukitan hijau hutan indonesia dan menarik sangat unik berbentuk kuil untuk bangun dekat dengan. sangat membantu layanan sarung dan obor yang disediakan.;Ditulis pada 21 Oktober 2015
greytokyo;Kami bangun pagi untuk menyaksikan matahari terbit sehior dan itu layak. Borobudur adalah sebagai indah seperti doa-doa. Semua itu sangat terorganisasi dengan baik. Kami memesan tiket melalui hotel kami (cempaka villa). Ada seseorang yang menunggu untuk kami di hotel manohara ketika kami sampai di sana. Dia memberi kami tiket kami, membawa kami ke sebuah meja untuk mendapatkan senter dan kami berangkat. Kami harus memanjat tangga sedikit ke atas jadi aku bersyukur aku memakai sepatu yang nyaman. Setelah itu, kami berjalan sekitar, mengambil banyak gambar. Sebagian stupa telah buddha di mereka, beberapa tidak. Dari mereka yang kita melihat, tapi dengan banyak cabang atau dua. Kita tidak dapat mengerti mengapa orang-orang akan secara sengaja membobolkan dan mengambil bagian dari buddha!Ketika kami kembali, kami terkejut untuk ditawarkan kopi pagi kopi/teh benar-benar terdiri dari 2 kecil lokal dan makanan ringan. Kami juga diberi sebuah meja, yang tidak terduga, sentuhan yang bagus untuk kenang-kenangan.Warna-warna cerah itu di sisi mahal tapi tempat ini adalah terpelihara dengan baik dan dikelola.;Ditulis pada 20 Oktober 2015
DANIELSUDAR;Aku pergi ke sana dengan adikku dan anak-anaknya. Kami telah seperti waktu yang indah. Kuil ini merupakan keajaiban. Bahkan sekarang saya masih bertanya-tanya, siapa yang membangun candi ini benar-benar?;Ditulis pada 20 Oktober 2015
Novi C;Ini adalah objek wisata yang wajib dikunjungi om okki dulu-dulu saat anda mengunjungi yogyakarta. Anda akan terpukau betapa menakjubkan ini adalah kuil budha. Ketika kami pergi sana itu tidak ada libur umum tidak banyak orang dan sangat bersih. Aku pergi sebelum renovasi dan sekarang mereka lebih bersih dan lebih baik. Worth mengunjungi;Ditulis pada 18 Oktober 2015
Andy_C99;Kami bangun pagi-pagi. Dijemput oleh pengemudi di tingkat 3. Hotel yang aku tinggal, itu adalah pengalaman untuk mempersiapkan sarapan untuk kami makan siang untuk perjalanan ini. Perjalanan dari hotel kami ke candi hampir 1 jam, bahkan awal di pagi hari. Saya percaya ini dapat mengambil lebih dari 2 jam untuk membuat perjalanan yang sama selama siang hari. Cuaca dapat cukup dingin, maka itu akan bagus untuk membawa syal atau parkir.Memandang matahari terbenam merupakan menjudi. Jika kita pagi ini, kamu tidak akan dapat melihat matahari terbit. Sayangnya bagi saya. Aku hanya bisa melihat rising mencoloki. Matahari hanya muncul setelah setengah jam. Tapi itu layak.;Ditulis pada 18 Oktober 2015
Jana I;Ini adalah salah satu tempat favorit saya yang saya perjalanan di laut. Aku membayangkan lebih banyak mendaki di sana, sebaliknya hanya sejumlah anak tangga. Kami pergi untuk matahari terbenam, langit bukan biru pagi itu tapi tidak memurungkan bagaimana menakjubkan tempat ini adalah. Saya yakin, matahari terbenam yang besar juga.;Ditulis pada 15 Oktober 2015
m-town2185;Hotel ini tidak buruk. Tapi begitu anda keluar dari mobil, 10 orang-orang di sekitar anda, mencoba untuk menjual sesuatu. (dan mereka semua menjual sama) dan ini terus berlangsung sampai anda mencapai pasar di akhir. Sebagian besar orang-orang di pasar sebelum sehingga mereka tidak mengganggu anda. (tapi pasar tetap bahkan tampaknya tidak ada akhir untuk itu!) kami butuh setidaknya 20 menit untuk keluar)Saat anda tiba di borobudur, anda harus pergi ke kantor tiket internasional. jadi mereka bisa mencabikmu dari waktu besar. Penduduk setempat akan membayar mungkin 10% dari apa yang kami harus membayar. Saat anda masuk, mereka membuat anda memakai sesuatu sehingga semua orang di sana tahu bahwa anda wisatawan sehingga mereka dapat menjual anda sesuatu. Borobudur adalah oke, bukan yang terbaik yang pernah saya lihat dalam hidup saya. Aku suka prambanan jauh lebih baik (anda dapat membeli combi tiket di loket penjualan tiket, dan tidak seperti banyak orang yang mencoba untuk menjual anda sesuatu)Seperti kata saya, bukan yang terbaik pernah, tetapi ketika anda berada di indonesia anda harus mengunjungi tempat ini hanya sehingga anda dapat melihat ini. Anda dapat masuk dan keluar dalam waktu sekitar 2 jam. Ini akan memberi anda banyak waktu untuk berjalan-jalan semua di sekitar candi.;Ditulis pada 12 Oktober 2015
Hobosan;Kuil ini patut dikunjungi. Hotel ini cukup baik, dengan menarik patung, dan keseluruhan struktur ini mengesankan. Seperti kebanyakan tempat, itu adalah sedikit ramai tapi dengan baik, kebanyakan turis lokal, orang-orang asing tidak.;Ditulis pada 12 Oktober 2015
Blaz Pregelj;Ok. Saya tidak akan mengatakan tidak pergi, tapi jika anda tidak seperti tempat wisata yang ramai, dari satu ini adalah benar-benar untuk anda. Ya, tentu saja, pandangan adalah indah tapi tidak menakjubkan. Setidaknya untuk saya itu tidak. Setelah selesai tur awal (anda akan bangun šat 3:00 jika anda tinggal di yogyakarta) siapsiaplah diserang oleh makanan lokal/penjual suvenir.;Ditulis pada 12 Oktober 2015
;;
Goretti56;Kuil yang indahSatu-satunya keluhan adalah bahwa kita bangun untuk matahari terbit tapi kami tidak diperbolehkan pulang di hari yang sama ketika kami ingin kembali ke hotel untuk sarapan;Ditulis pada 11 Oktober 2015
katherine l;WOW - impian kita yang lain kunjungan rutin.Silakan jika anda mendapatkan kesempatan pergi ke jawa dan melihat sebagian besar dan menakjubkan kestrukturan. The 9th Century dan bangunan mulai di tempat ini benar-benar sebuah keajaiban dunia unesco situs warisan dan.Pastikan anda mendapatkan ke candi sebelum matahari terbit sehingga anda dapat salah satu dari gerbang pertama untuk memungkinkan anda untuk mengambil foto yang luar biasa. * * * DAPATKAN PANDUAN YANG BAIK - hotel ini sangat layak sebagai mereka menjelaskan sejarah dan kisah-kisah para mengukir. * * * Jika anda memerlukan sebuah panduan untuk Yogyarkarta dan hingga candi borobudur atau pelengkap di sulphur iands tinggi di jawa kemudian hubungi saya dan saya dapat menyediakan anda dengan yang paling berpengalaman dan terpercaya di panduan Yog.Di jawa, orang-orang yang indah dan membuat upaya besar untuk melihat setelah tamu di negara mereka. Satu-satunya sisi untuk setiap kunjungan adalah jumlah kios di luar kuil dan kesempatan oleh orang-orang seperti menjambaki di pakaian dan berteriak pada anda atau memberitahu anda bagaimana mereka kelapara anak-anak! Panduan kami memberitahu kami tidak melihat siapa pun dan hanya terus berjalan sambil berkata tidak - yang sangat keras yang dapat dilakukan! Ini salah satu yang paling menakjubkan pengalaman hidup saya. Silakan silakan pergi dan melihat.;Ditulis pada 11 Oktober 2015
Kim C;Kami pergi untuk melihat matahari terbit tanpa tur. Kuil indah, dengan perairan dangkal tetapi ada banyak orang. Bahkan setelah matahari terbit, banyak orang tetap datang dan sebagainya. Saya pikir harus ada pengawasan lebih, cukup menyedihkan melihat orang yang sedang duduk-duduk bersandar di kuil/struktur. Ada beberapa penjaga ramah tetapi mereka tampaknya tidak peduli.;Ditulis pada 10 Oktober 2015
TeresaAzaleaT;"Jika anda belum pernah ke borobudur yang berarti anda pernah ke yogya, jangan lupa untuk mengunjungi juga museum di dalam kawasan borobudur, maka anda akan menemukan kapal "" Samudraraksa ' yang membuat mempersendikan di relief borobudur.";Ditulis pada 9 Oktober 2015
Marie M;Hanya untuk berjantang: Kuil itu sendiri adalah menakjubkan. Segala sesuatu yang anda akan menemukan di tempat ini tidak ada hubungannya dengan agama budha, jadi tidak datang ke sini untuk mendapatkan pengalaman spiritual. Unesco mengkritik kurangnya pengawasan yang sempurna untuk gila jumlah pedagang kios dan komersialisasi di sekitar candi. Di jalan keluar anda akan berjalan kaki melalui jalan panjang yang berliku agen kios dan pedagang asongan. Aku bersimpati dengan orang-orang yang mengandalkan pendapatan dari dinas pariwisata tetapi ini benar-benar merusak itu bagi saya dan kasar baunyaseperti dari eksploitasi sumber daya budaya.Matahari terbit itu tidak layak. Untuk melihat matahari terbit atau terbenam yang anda membeli tiket dari hotel manohara di pintu masuk taman. Ini sedikit lebih mahal, tiket bagi orang asing (380k) daripada tiket masuk reguler memungkinkan untuk 6am 5pm dari. Jika anda bersedia untuk membayar, perlu diketahui bahwa anda harus beruntung untuk benar-benar melihat matahari terbit. Aku pergi di bulan september dan melihat tidak ada. Cahaya yang sangat indah antara 6 dan 7 jam (dan terlalu terang 7am terakhir), jadi jika anda pergi, pergi ketika taman terbuka, tetapi tidak membayar untuk tur tiket. Taman karyawan mengatakan kepada saya ada tidak menjadi terlihat saat matahari terbit untuk seluruh minggu, tapi mungkin lebih baik saat matahari terbenam dan hampir tidak ada perkudaan. Kerumunan itu tertahankan untuk senin pagi.Bagi mereka yang datang dari yogyakarta: Akan pergi ke borobudur pada sepeda motor anda dengan mudah, tapi aku pribadi tidak berkendara dalam gelap. Jika bergabung dengan sebuah kelompok transportasi, di bawah 100k adalah harga yang dapat diterima.;Ditulis pada 7 Oktober 2015
Fauziah A;Candi borobudur adalah salah satu keajaiban dunia. Ini terbuat dari batu yang aneh yang memiliki relief ini. Pertama kali anda melihat anda akan merasa kagum pada ukuran. Dan ini bukti bahwa manusia dari masa lalu mereka memiliki teknologi untuk membangun bangunan candi borobudur yang sangat rumit.;Ditulis pada 5 Oktober 2015
ishd72;1200 tahun ini situs candi buddha, yang terdaftar di unesco dan benar-benar indah untuk dilihat. Dibangun ketika pulau jawa dan sebagian besar buddha adalah, sebagian besar situs web masih berdiri. Batu-batu berukir yang ditumpuk bersama-sama benar-benar memiliki yang luar biasa. Situs ini diatur dan pengunjung diharuskan memakai sarung yang disediakan sebagai rasa hormat. Tidak perlu untuk panduan, yang memulai, banyak dan banyak wisatawan dan memakai sepatu yang nyaman!;Ditulis pada 3 Oktober 2015
Andrew F;"Catatan di pintu gerbang ditutup 5pm. Saya pikir saya adalah 300,000 idr per orang.Pemandangan yang indah dan arsitektur yang indah. Ada banyak turis sehingga anda akan berjuang untuk mendapatkan foto yang baik tanpa orang-orang. Benar-benar layak akan. Bersiaplah untuk mentasrifkan memorabilia banyak orang di luar kuil kekeluaran. Haha.Kisah kami:Kami mengambil hari perjalanan untuk mengunjungi kuil ini dari jakarta. Kami terbang ke yogyakarta dengan rencana untuk naik bus ke kuil.Bandara staf membawa kami ke halte bus. Kami diberitahu bahwa bus (100 000 untuk dua) judul untuk Mageland Muntilan di mana kami akan berhenti di dan mengambil harus keluar dari bus ke borobudur. Kami melakukan itu dan saya menyadari ketika kami berada di lain Muntilan siap dengan penduduk setempat. Tapi di resor sepanjang jalan sangat sibuk dan area terminal bus, kami kewalahan oleh semua orang-orang yang tidak bisa berbicara bahasa inggris tapi mereka mencoba untuk mendapatkan kita untuk menggunakan sepeda motor mereka untuk transportasi atau apa pun. Lagi pula, kami menunggu bus segera tiba di ""borobudur"" bagian terminal. Kami mengambil bus (20, untuk 000idr dua) dengan tidak ada pintu dan penuh dengan anak-anak sekolah. Ketika kami tiba di borobudur, orang yang menawari kami transportasi ke kuil di tuk tuk yang sangat menyenangkan. Akhirnya kami sampai di sana. Berjalan di sekitar saya dan kemudian memesan taksi naik langsung ke bandara untuk kembali ke 300,000 idr. Petualangan yang bagus!";Ditulis pada 2 Oktober 2015
LisaTakesTrips;Melihat matahari terbit di candi adalah salah satu yang paling mengesankan bagian dari perjalanan keliling indonesia - agung, tenang, besar.Kita beruntung untuk memiliki panduan dengan kami mengunjungi di, dan ini benar-benar menambah nilai pengalaman kami. Kami memilih untuk tur matahari terbit, ketika itu tenang (dan dingin!) daripada pergi di siang hari. Masih ada beberapa orang di sekitar mereka.Panduan kami berbicara kita melalui berbagai pahatan di sekitar candi serta menunjukkan hal-hal yang kita mungkin tidak melihat sebaliknya. Di usah anda juga mendapatkan kopi yang baik di sekitar hotel, yang adalah luar biasa dan banyak yang dibutuhkan!;Ditulis pada 2 Oktober 2015
lisasouza1215;Aku anda berencana untuk mengunjungi candi borobudur saya sangat menyarankan tinggal setidaknya dua malam di daerah kota borobudur! Anda tidak akan menyesal! Saya melakukan kunjungan kedua matahari terbit dan terbenam karena saya ingin pengalaman baik dan aku akan mengatakan itu sangat mengesankan! Jika anda pergi siang hari anda dapat tinggal sampai 17:15 yang adalah benar-benar dekat dengan tenggelam sehingga anda masih mendapatkan foto yang bagus, anda tidak ingin menghabiskan uang tambahan! Sebenarnya kota borobudur adalah tempat yang indah dengan begitu banyak untuk mengeksplorasi dari kunjungan ke rumah khas dan melihat proses iocals membuat tahu. Atau naik skuter melalui desa tahu untuk membuat keramik di serambi depan mereka dgn proses menggaringkan menggulai dibuat dan perjalanan pagi ke pasar setempat! begitu banyak untuk melihat! Ini adalah cukup mudah dan murah perjalanan dengan bus lokal tepat di seberang jalan dari bandara ke borobudur dan sebuah rumah yang sangat membantu dengan diet Harja induksemangnya Yudo! Sangat merekomendasikan! Dia pergi keluar dari cara-nya untuk membuat saya tetap sempurna untuk saya!;Ditulis pada 2 Oktober 2015
;;
Santiago G;Kuil besar ini (terbesar di dunia kuil buddha) adalah benar-benar sangat bagus dan menarik untuk dikunjungi. Saya merekomendasikan untuk menyewa sebuah panduan untuk mendapatkan keuntungan dari semua rincian tentang candi, di tahap untuk mencapai nirwana.Bagian atas area dengan semua patung buddha yang tersembunyi adalah benar-benar menakjubkan. Selain itu, pemandangan dari atas adalah benar-benar bagus dan layak yang dikelilingi oleh alam yang bagus untuk mengunjungi.Satu-satunya hal buruk, meminta orang-orang yang menjual suvenir...;Ditulis pada 1 Oktober 2015
Ashley S;Ini adalah salah satu tempat-tempat terbaik yang aku menikmati sementara memphoto di indonesia. Aku tidak percaya bahwa aku memesan awal matahari terbit besar. Penuh sesak, ya, tapi benar-benar dihargai. tempat yang sangat damai.;Ditulis pada 30 September 2015
RomeroSNG;Ini adalah benar-benar keren mengunjungi di sini. Kuil ini sangat besar. Cukup lelah untuk menjelajahi seluruh kuil tapi itu cukup menarik. Sepenuhnya direkomendasikan untuk dikunjungi.;Ditulis pada 30 September 2015
Janice m;Ini adalah besar untuk yakin. Hotel ini menakjubkan dan anda harus mengambil waktu untuk mengambil semua di, terutama saat di tingkat atas dan anda dapat melihat pegunungan, gunung berapi di kejauhan berjantang. Satu lagi keajaiban dunia kuno 7 tiket diskon emberku setat.;Ditulis pada 30 September 2015
MaartjeArnoud;lihat bertiu pikiran anda untuk tidur dengan mudah, makan di awal bangun tidur yang dibutuhkan itu akan sangat merekomendasikan hotel ini. berada di kuil benar-benar awal untuk menghindari orang banyak dan panas makanan. Jika tertarik pada sejarah yg berkenaan dgn budha elemen dan dapatkan panduan, kita sangat baik, benar-benar bernilai uang.;Ditulis pada 30 September 2015
